"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table4"	"198"	"sasaki1986"	"Brain"	"Cingulate cortex"	"GABA"	10	18.57	11.1	9	11.81	2.46	"N/A"	-0.782531324884825	0.231171957492868	-1.72488877044787	0.159826120678219	10	9	36.2728483322742
"table40"	"96"	"kwakowsky2018"	"Brain"	"Dentate gyrus "	"GABA A receptor α subunit"	6	9410144.5	2644738.57018042	6	19994927.5	7946640.74726154	"YES"	0.254517573859877	0.0165880220307021	0.0020850015802496	0.506950146139504	72	72	36.248927718348
"table40"	"212"	"rissman2004"	"Brain"	"Dentate gyrus "	"GABA A receptor α subunit"	6	0.13	0.048989794855664	6	0.08	0.017146428199482	"YES"	-1.69376861945455	0.133424394565929	-2.40969062456478	-0.97784661434431	12	12	27.8740061511525
"table40"	"79"	"howell2000"	"Brain"	"Dentate gyrus "	"GABA A receptor α subunit"	5	162	42.485291572496	5	148	53.665631459995	"YES"	-0.111224302066896	0.0206185422685134	-0.392658630227544	0.170210026093752	10	10	35.8770661304994
"table41"	"238"	"govindpani2020"	"Brain"	"Temporal gyrus"	"GABA A receptor α subunit"	6	2202.48	351.685489820095	6	951.12	325.145268457039	"YES"	-1.85413431474458	0.157131141268612	-2.63105954192674	-1.07720908756243	36	36	43.8431528524797
"table41"	"96"	"kwakowsky2018"	"Brain"	"Temporal gyrus"	"GABA A receptor α subunit"	6	314277777.5	73348608.4313453	6	306444444	151868364.052557	"YES"	-0.916586931805618	0.0488943723704238	-1.34997557727832	-0.483198286332912	24	24	56.1568471475203
"table42"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus "	"GABA A receptor α subunit"	6	18878571	3884190.17798768	6	18614285.5	2327015.25564402	"YES"	0.252811319036405	0.0165519540152609	0.000653333337662598	0.504969304735148	216	216	35.4473278428056
"table42"	"212"	"rissman2004"	"Brain"	"Hippocampus "	"GABA A receptor α subunit"	6	0.12	0.073484692283495	6	0.07	0.019595917942265	"YES"	-1.51621500908785	0.109676720296526	-2.16530560723875	-0.867124410936955	48	48	30.0105748473901
"table42"	"79"	"howell2000"	"Brain"	"Hippocampus "	"GABA A receptor α subunit"	5	70	60.3738353924943	5	53	24.5967477524977	"YES"	-0.447733886219	0.0300232816434384	-0.787341306773042	-0.108126465664957	15	15	34.5420973098043
"table43"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA1"	"GABA A receptor α subunit"	6	18878571	3884190.17798768	6	18614285.5	2327015.25564402	"YES"	0.0232530553722081	0.0139114182465615	-0.207918180579886	0.254424291324302	72	72	39.9901055951126
"table43"	"212"	"rissman2004"	"Brain"	"Hippocampus - CA1"	"GABA A receptor α subunit"	6	0.12	0.073484692283495	6	0.07	0.019595917942265	"YES"	-1.20591933365598	0.0744822821924426	-1.740821773278	-0.671016894033964	12	12	36.2113593386742
"table43"	"79"	"howell2000"	"Brain"	"Hippocampus - CA1"	"GABA A receptor α subunit"	5	70	60.3738353924943	5	53	24.5967477524977	"YES"	-0.332900540663046	0.408822769973749	-1.5860868140543	0.920285732728209	5	5	23.7985350662132
"table44"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA2 "	"GABA A receptor α subunit"	6	22370689.5	1545711.31034744	6	21389655	10667949.1420565	"YES"	0.290284347950178	0.0173999306665914	0.0317478570274388	0.548820838872917	72	72	36.7811590424112
"table44"	"212"	"rissman2004"	"Brain"	"Hippocampus - CA2"	"GABA A receptor α subunit"	6	0.12	0.024494897427832	6	0.08	0.024494897427832	"YES"	-1.82547117697252	0.152736597970449	-2.59145508771503	-1.05948726623001	12	12	33.8089278675986
